dứt	giứt
dựt	giựt
dừ	giừ
dềnh	giềnh
dề	giề
dẻ	giẻ
dé	gié
dú	giú
dũ	giũ
dụ	giụ
dùi	giùi
dúi	giúi
dụi 	giụi
dùm	giùm
duồng	giuồng
dũa	giũa
dụa	giụa
duộc	giuộc
duối	giuối
dỡn	giỡn
dột	giột
dộp	giộp
dơ	giơ
dở	giở
dỡ	giỡ
dội	giội
dối	giối
dổi	giổi
dông	giông
dông	giông
dỏng	giỏng
dóc	gióc
doãng	gioãng
dô	giô
dồ	giồ
dỗ	giỗ
dóng	gióng
dòng	giòng
dọi	giọi
dòn	giòn
dòi	giòi
dí	gí
diệt	giệt
dật	giật
dẫy	giẫy
dẫm	giẫm
dậm	giậm
dấp	giấp
dẫm	giẫm
dậm	giậm
dấp	giấp
dắt	giắt
dằng	giằng
dẵm	giẵm
dằn	giằn
dặn	giặn
dăm	giăm
dành	giành
dãy	giãy
dạy	giạy
dát	giát
dạt	giạt
dãn	giãn
dàn	giàn
dão	gião
